Date,Close,Adj Close
2019/11/24,3118.25,3118.25
2019/11/25,3132.75,3132.75
2019/11/26,3143.75,3143.75
2019/11/27,3153.75,3153.75
2019/11/29,null,null
2019/12/1,3146.75,3146.75
2019/12/2,3114.25,3114.25
2019/12/3,3091,3091
2019/12/4,3111,3111
2019/12/5,3117.75,3117.75
2019/12/6,3146,3146
2019/12/8,3146.75,3146.75
2019/12/9,3134.5,3134.5
2019/12/10,3136,3136
2019/12/11,3143,3143
2019/12/12,3168,3168
2019/12/13,3172,3172
2019/12/15,3176,3176
2019/12/16,3194.25,3194.25
2019/12/17,3192,3192
2019/12/18,3194.75,3194.75
2019/12/19,3207,3207
2019/12/20,3231.02002,3231.02002
2019/12/22,3228,3228
2019/12/23,3227.25,3227.25
2019/12/24,null,null
2019/12/26,3244.5,3244.5
2019/12/27,3237.5,3237.5
2019/12/29,3240.75,3240.75
2019/12/30,3223.5,3223.5
2019/12/31,3231,3231
2020/1/2,3259,3259
2020/1/3,3235.5,3235.5
2020/1/5,3222,3222
2020/1/6,3243.5,3243.5
2020/1/7,3235.25,3235.25
2020/1/8,3260.25,3260.25
2020/1/9,3276,3276
2020/1/10,3264.75,3264.75
2020/1/12,3270.25,3270.25
2020/1/13,3289.75,3289.75
2020/1/14,3288,3288
2020/1/15,3293.75,3293.75
2020/1/16,3316.5,3316.5
2020/1/17,3325,3325
2020/1/19,3327.75,3327.75
2020/1/21,3319.5,3319.5
2020/1/22,3319.75,3319.75
2020/1/23,3326,3326
2020/1/24,3293.5,3293.5
2020/1/26,3258.5,3258.5
2020/1/27,3239.5,3239.5
2020/1/28,3278.25,3278.25
2020/1/29,3272.5,3272.5
2020/1/30,3289.75,3289.75
2020/1/31,3224,3224
2020/2/2,3231,3231
2020/2/3,3245.5,3245.5
2020/2/4,3299.5,3299.5
2020/2/5,3335,3335
2020/2/6,3345.25,3345.25
2020/2/7,3325.5,3325.5
2020/2/9,3311.75,3311.75
2020/2/10,3353,3353
2020/2/11,3357.5,3357.5
2020/2/12,3380.5,3380.5
2020/2/13,3377.5,3377.5
2020/2/14,3381,3381
2020/2/16,3388.25,3388.25
2020/2/18,3369.25,3369.25
2020/2/19,3387.25,3387.25
2020/2/20,3369.25,3369.25
2020/2/21,3339.25,3339.25
2020/2/23,3299.25,3299.25
2020/2/24,3226.25,3226.25
2020/2/25,3132.5,3132.5
2020/2/26,3110.25,3110.25
2020/2/27,3110.25,3110.25
2020/2/28,2956.899902,2956.899902
2020/3/1,2957,2957
2020/3/2,2951.100098,2951.100098
2020/3/3,3065.100098,3065.100098
2020/3/4,2997.100098,2997.100098
2020/3/5,3114.699951,3114.699951
2020/3/6,3015.5,3015.5
2020/3/8,3015.5,3015.5
2020/3/9,2964.100098,2964.100098
2020/3/10,2747.699951,2747.699951
2020/3/11,2865.75,2865.75
2020/3/12,2740.300049,2740.300049
2020/3/13,2468.899902,2468.899902
2020/3/15,2468.899902,2468.899902
2020/3/16,2683.899902,2683.899902
2020/3/17,2406.25,2406.25
2020/3/18,2485.5,2485.5
2020/3/19,2401.399902,2401.399902
2020/3/20,2389,2389
2020/3/22,2191.5,2191.5
2020/3/23,2257,2257
2020/3/24,2432.75,2432.75
2020/3/25,2464.25,2464.25
2020/3/26,2618.25,2618.25
2020/3/27,2520,2520
2020/3/29,2494.75,2494.75
2020/3/30,2615,2615
2020/3/31,2542,2542
2020/4/1,2469,2469
2020/4/2,2504.25,2504.25
2020/4/3,2480.25,2480.25
2020/4/5,null,null
2020/4/6,2656.25,2656.25
2020/4/7,2644.5,2644.5
2020/4/8,2746.5,2746.5
2020/4/9,2787,2787
2020/4/12,2742.5,2742.5
2020/4/13,2765.5,2765.5
2020/4/14,2835,2835
2020/4/15,2754.25,2754.25
2020/4/16,2863.25,2863.25
2020/4/17,2869,2869
2020/4/19,2847.5,2847.5
2020/4/20,2814,2814
2020/4/21,2736.5,2736.5
2020/4/22,2775,2775
